check,value,status
n_rows,1000,INFO
n_cols,14,INFO
duplicate_rows,0,PASS
duplicate_patient_ids,0,PASS
missing_patient_id,0,PASS
missing_age,0,PASS
missing_bmi,0,PASS
missing_is_smoker,0,PASS
missing_genomic_risk_score,0,PASS
missing_townsend_index,0,PASS
missing_months_observed,0,PASS
missing_event_occurred,0,PASS
missing_city_id,0,PASS
missing_avg_pm25_exposure,0,PASS
missing_avg_no2_exposure,0,PASS
missing_lat,0,PASS
missing_lon,0,PASS
missing_city,0,PASS
event_rate_pct,23.4,INFO
n_events,234,INFO
n_censored,766,INFO
overall,PASS,PASS
